Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PP;41
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;VOX;23
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;P.S.O.E.;23
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;XAV;13
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;Cs;2
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PODEMOS-IU-AV;1
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PACMA;1
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PYC (ANULADA);0
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PCAS-TC-RC;0
05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;FE de las JONS;0
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PP;99
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;P.S.O.E.;85
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;VOX;46
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PODEMOS-IU-AV;21
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;XAV;17
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PACMA;7
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;Cs;7
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PCAS-TC-RC;0
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PYC (ANULADA);0
05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;FE de las JONS;0
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;P.S.O.E.;108
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PP;82
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;VOX;37
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;XAV;25
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PODEMOS-IU-AV;20
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;Cs;4
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PACMA;3
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PCAS-TC-RC;2
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;FE de las JONS;0
05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PYC (ANULADA);0
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;P.S.O.E.;82
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PP;76
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;VOX;47
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PODEMOS-IU-AV;40
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;XAV;15
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PACMA;1
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;Cs;1
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PCAS-TC-RC;1
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;FE de las JONS;0
05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PYC (ANULADA);0
05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;P.S.O.E.;86
05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PP;76
05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;VOX;48
05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PODEMOS-IU-AV;22
05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;XAV;15
05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;Cs;2
